"filename", "language", "JSON with Comments", "JSON", "CSS", "TypeScript", "HTML", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\gestion\pedidos\pedidos.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\gestion\pedidos\pedidos.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\home\home.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\home\home.component.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-about\infor-about.component.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-about\infor-about.component.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-about\infor-about.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-about\infor-about.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-page\infor-page.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-page\infor-page.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-page\infor-page.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\information\infor-page\infor-page.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\menu\menu.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\menu\menu.component.html", "HTML", 0, 0, 0, 0, 69, 0, 0, 1, 0, 70
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\menu\menu.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\menu\menu.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\reserva\reserva.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\reserva\reserva.component.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 1, 0, 38
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\reserva\reserva.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\reserva\reserva.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\footer\footer.component.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\footer\footer.component.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 68
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\footer\footer.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\navbar\navbar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 33
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\shared\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
